,2009,2010,2011,2012,2013,2014,2015,2016
Santa Cruz das Flores,1,1,1,1,1,1,2,3
Corvo,1,1,1,1,1,1,1,1
Calheta [R.A.M.],6,6,5,6,7,7,7,7
Câmara de Lobos,17,20,24,25,30,37,42,47
Funchal,514,532,542,577,597,633,679,719
Machico,22,25,26,27,28,31,32,34
Ponta do Sol,3,1,1,2,2,4,5,7
Porto Moniz,1,1,1,2,3,3,5,3
Ribeira Brava,5,6,7,8,7,12,20,23
Santa Cruz,78,84,90,90,94,101,110,112
Santana,5,2,3,3,3,3,4,5
São Vicente,4,5,5,5,5,6,6,6
Porto Santo,2,1,2,2,2,4,4,5
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
 , , , , , , , , 
