,2009,2010,2011,2012,2013,2014,2015,2016
Câmara de Lobos,35719,35686,35424,35109,34912,34640,34364,34147
Funchal,111370,111795,110990,109570,108601,107387,106142,105188
Machico,21957,21889,21652,21395,21242,21011,20764,20554
Ponta do Sol,8786,8840,8836,8803,8793,8741,8657,8588
Porto Moniz,2772,2741,2681,2613,2556,2500,2443,2404
Ribeira Brava,13361,13384,13266,13088,12961,12805,12638,12501
Santa Cruz,41159,42413,43048,43308,43678,43850,43899,43976
Santana,7939,7801,7637,7474,7338,7202,7062,6934
São Vicente,5843,5772,5661,5554,5467,5359,5259,5188
Porto Santo,5351,5437,5436,5366,5323,5275,5219,5174
